STATE,YEAR,Proj
6,2010,37335085
6,2011,37675500
6,2012,38042760
6,2013,38373749
6,2014,38739792
6,2015,39059415
6,2016,39312207
6,2017,39613019
6,2018,39952483
6,2019,40295352
6,2020,40639392
6,2021,40980939
6,2022,41321565
6,2023,41659526
6,2024,41994283
6,2025,42326397
6,2026,42655695
6,2027,42981484
6,2028,43304691
6,2029,43624393
6,2030,43939250
6,2031,44250503
6,2032,44556617
6,2033,44856079
6,2034,45150800
6,2035,45440735
6,2036,45726459
6,2037,46006009
6,2038,46277743
6,2039,46544307
6,2040,46804202
6,2041,47056631
6,2042,47303447
6,2043,47544426
6,2044,47778649
6,2045,48007817
6,2046,48230450
6,2047,48449179
6,2048,48663583
6,2049,48872567
6,2050,49077801
6,2051,49278229
6,2052,49473225
6,2053,49664564
6,2054,49855335
6,2055,50044172
6,2056,50229888
6,2057,50416346
6,2058,50602446
6,2059,50789873
6,2060,50975904
