STATE,YEAR,Proj
27,2017,5579602
27,2018,5616504
27,2019,5652391
27,2020,5687161
27,2021,5720674
27,2022,5753117
27,2023,5784713
27,2024,5815168
27,2025,5844466
27,2026,5872754
27,2027,5899895
27,2028,5925958
27,2029,5950692
27,2030,5974304
27,2031,5997797
27,2032,6021419
27,2033,6044540
27,2034,6067835
27,2035,6089935
27,2036,6110416
27,2037,6129430
27,2038,6149090
27,2039,6169017
27,2040,6189207
27,2041,6208331
27,2042,6226593
27,2043,6244047
27,2044,6261048
27,2045,6278094
27,2046,6295181
27,2047,6312470
27,2048,6330433
27,2049,6349154
27,2050,6368693
27,2051,6388280
27,2052,6407911
27,2053,6427676
27,2054,6447789
27,2055,6467845
27,2056,6488360
27,2057,6509181
27,2058,6530435
27,2059,6551910
27,2060,6573631
27,2061,6595585
27,2062,6617905
27,2063,6640314
27,2064,6662652
27,2065,6684968
27,2066,6707044
27,2067,6728841
27,2068,6750253
27,2069,6771154
27,2070,6791601
