YEAR,STATE,mig0,mig05,mig10
2010,48,25145561,25145561,25145561
2011,48,25368140,25499699,25631695
2012,48,25587758,25857200,26130047
2013,48,25804803,26217850,26640165
2014,48,26018996,26581256,27161942
2015,48,26230098,26947116,27695284
2016,48,26438031,27315362,28240245
2017,48,26642846,27686234,28797290
2018,48,26844587,28059417,29366479
2019,48,27043215,28435222,29948091
2020,48,27238610,28813282,30541978
2021,48,27430846,29193543,31148299
2022,48,27619758,29576078,31767295
2023,48,27805264,29960483,32398820
2024,48,27987306,30346675,33042844
2025,48,28165689,30734321,33699307
2026,48,28340192,31123110,34367812
2027,48,28510652,31512597,35048139
2028,48,28676463,31902068,35739576
2029,48,28837655,32291314,36441844
2030,48,28994210,32680217,37155084
2031,48,29146457,33069124,37879808
2032,48,29293370,33456996,38615545
2033,48,29435223,33844034,39362271
2034,48,29572471,34230596,40120968
2035,48,29705207,34616890,40892255
2036,48,29833585,35003182,41676432
2037,48,29957694,35389580,42474368
2038,48,30077600,35776102,43286564
2039,48,30193458,36163116,44113564
2040,48,30305304,36550595,44955896
2041,48,30413550,36938879,45814206
2042,48,30517688,37327562,46688598
2043,48,30617890,37716926,47579643
2044,48,30714751,38107567,48488716
2045,48,30808219,38499538,49416165
2046,48,30899220,38893625,50363232
2047,48,30988290,39290775,51331196
2048,48,31075662,39691097,52321084
2049,48,31161596,40095109,53333517
2050,48,31246355,40502749,54369297
